Hourly measurement data supplied by UK-air on 27/02/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Birmingham Tyburn",,"Harwell",,"London Marylebone Road",,"London N. Kensington",
Latitude,,52.511722,,51.571078,,51.522530,,51.521050,,
Longitude,,-1.830583,,-1.325283,,-0.154611,,-0.213492,,
Site Type,,Urban Background,,Rural Background,,Urban Traffic,,Urban Background,,
Zone,,West Midlands,,South East,,Greater London,,Greater London,,
Agglomeration,,West Midlands Urban Area,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,
Local Authority,,"Birmingham",,"White Horse",,"Westminster",,"Kensington",,
Date,Time,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status
2011-01-03,01:00:00,10924,V particles cm-3,8005,V particles cm-3,26171,V particles cm-3,16100,V particles cm-3
2011-01-03,02:00:00,8647,V particles cm-3,7107,V particles cm-3,20613,V particles cm-3,16059,V particles cm-3
2011-01-03,03:00:00,7749,V particles cm-3,7403,V particles cm-3,18495,V particles cm-3,14287,V particles cm-3
2011-01-03,04:00:00,6095,V particles cm-3,6690,V particles cm-3,15030,V particles cm-3,10380,V particles cm-3
2011-01-03,05:00:00,7609,V particles cm-3,6234,V particles cm-3,15854,V particles cm-3,12429,V particles cm-3
2011-01-03,06:00:00,9222,V particles cm-3,5614,V particles cm-3,15526,V particles cm-3,12383,V particles cm-3
2011-01-03,07:00:00,8419,V particles cm-3,5211,V particles cm-3,19056,V particles cm-3,12434,V particles cm-3
2011-01-03,08:00:00,13131,V particles cm-3,5908,V particles cm-3,24795,V particles cm-3,16217,V particles cm-3
2011-01-03,09:00:00,16781,V particles cm-3,7560,V particles cm-3,31095,V particles cm-3,23169,V particles cm-3
2011-01-03,10:00:00,18626,V particles cm-3,8807,V particles cm-3,37178,V particles cm-3,18433,V particles cm-3
2011-01-03,11:00:00,18364,V particles cm-3,7052,V particles cm-3,32106,V particles cm-3,17701,V particles cm-3
2011-01-03,12:00:00,8679,V particles cm-3,7715,V particles cm-3,31736,V particles cm-3,14458,V particles cm-3
2011-01-03,13:00:00,8193,V particles cm-3,7633,V particles cm-3,55517,V particles cm-3,14427,V particles cm-3
2011-01-03,14:00:00,8469,V particles cm-3,7545,V particles cm-3,58103,V particles cm-3,13034,V particles cm-3
2011-01-03,15:00:00,10934,V particles cm-3,9248,V particles cm-3,66928,V particles cm-3,14227,V particles cm-3
2011-01-03,16:00:00,12402,V particles cm-3,9493,V particles cm-3,63075,V particles cm-3,13255,V particles cm-3
2011-01-03,17:00:00,13042,V particles cm-3,9357,V particles cm-3,44105,V particles cm-3,13441,V particles cm-3
2011-01-03,18:00:00,15392,V particles cm-3,16043,V particles cm-3,44749,V particles cm-3,17256,V particles cm-3
2011-01-03,19:00:00,12903,V particles cm-3,14764,V particles cm-3,44189,V particles cm-3,17908,V particles cm-3
2011-01-03,20:00:00,16051,V particles cm-3,9011,V particles cm-3,50390,V particles cm-3,17421,V particles cm-3
2011-01-03,21:00:00,20219,V particles cm-3,8493,V particles cm-3,52749,V particles cm-3,17314,V particles cm-3
2011-01-03,22:00:00,21461,V particles cm-3,8089,V particles cm-3,44631,V particles cm-3,19040,V particles cm-3
2011-01-03,23:00:00,21761,V particles cm-3,9207,V particles cm-3,48766,V particles cm-3,17538,V particles cm-3
2011-01-03,24:00:00,23125,V particles cm-3,9024,V particles cm-3,42132,V particles cm-3,15822,V particles cm-3
2011-01-04,01:00:00,18627,V particles cm-3,8517,V particles cm-3,41126,V particles cm-3,14789,V particles cm-3
2011-01-04,02:00:00,13973,V particles cm-3,9839,V particles cm-3,34253,V particles cm-3,11738,V particles cm-3
2011-01-04,03:00:00,9688,V particles cm-3,8740,V particles cm-3,28058,V particles cm-3,10933,V particles cm-3
2011-01-04,04:00:00,9058,V particles cm-3,6526,V particles cm-3,29651,V particles cm-3,9241,V particles cm-3
2011-01-04,05:00:00,9230,V particles cm-3,5795,V particles cm-3,34783,V particles cm-3,8156,V particles cm-3
2011-01-04,06:00:00,10427,V particles cm-3,3828,V particles cm-3,44853,V particles cm-3,10178,V particles cm-3
2011-01-04,07:00:00,16615,V particles cm-3,2041,V particles cm-3,64776,V particles cm-3,15795,V particles cm-3
2011-01-04,08:00:00,21070,V particles cm-3,4129,V particles cm-3,77461,V particles cm-3,17041,V particles cm-3
2011-01-04,09:00:00,20248,V particles cm-3,3718,V particles cm-3,36773,V particles cm-3,14871,V particles cm-3
2011-01-04,10:00:00,20274,V particles cm-3,3554,V particles cm-3,52274,V particles cm-3,13514,V particles cm-3
2011-01-04,11:00:00,19967,V particles cm-3,3621,V particles cm-3,78974,V particles cm-3,20034,V particles cm-3
2011-01-04,12:00:00,16935,V particles cm-3,3337,V particles cm-3,72035,V particles cm-3,14784,V particles cm-3
2011-01-04,13:00:00,15292,V particles cm-3,3125,V particles cm-3,68319,V particles cm-3,19890,V particles cm-3
2011-01-04,14:00:00,13254,V particles cm-3,2923,V particles cm-3,76631,V particles cm-3,17316,V particles cm-3
2011-01-04,15:00:00,12647,V particles cm-3,4033,V particles cm-3,66289,V particles cm-3,17018,V particles cm-3
2011-01-04,16:00:00,9971,V particles cm-3,5629,V particles cm-3,70172,V particles cm-3,13572,V particles cm-3
2011-01-04,17:00:00,10525,V particles cm-3,5231,V particles cm-3,56457,V particles cm-3,15025,V particles cm-3
2011-01-04,18:00:00,9439,V particles cm-3,4233,V particles cm-3,69775,V particles cm-3,15770,V particles cm-3
2011-01-04,19:00:00,8683,V particles cm-3,3529,V particles cm-3,64536,V particles cm-3,15294,V particles cm-3
2011-01-04,20:00:00,8171,V particles cm-3,3048,V particles cm-3,55273,V particles cm-3,13759,V particles cm-3
2011-01-04,21:00:00,7811,V particles cm-3,3303,V particles cm-3,48151,V particles cm-3,13217,V particles cm-3
2011-01-04,22:00:00,6824,V particles cm-3,4078,V particles cm-3,41822,V particles cm-3,13542,V particles cm-3
2011-01-04,23:00:00,6630,V particles cm-3,3667,V particles cm-3,36499,V particles cm-3,10661,V particles cm-3
2011-01-04,24:00:00,6360,V particles cm-3,3086,V particles cm-3,32050,V particles cm-3,9326,V particles cm-3
2011-01-05,01:00:00,5703,V particles cm-3,2541,V particles cm-3,33852,V particles cm-3,8074,V particles cm-3
2011-01-05,02:00:00,4141,V particles cm-3,2065,V particles cm-3,23261,V particles cm-3,5437,V particles cm-3
