"date","area","site","ufp"
2000-07-06,"london","nkens",NA
2000-07-07,"london","nkens",NA
2000-07-08,"london","nkens",NA
2000-07-09,"london","nkens",NA
2000-07-10,"london","nkens",NA
2000-07-11,"london","nkens",NA
2000-07-12,"london","nkens",NA
2000-07-13,"london","nkens",NA
2000-07-14,"london","nkens",NA
2000-07-15,"london","nkens",NA
2000-07-16,"london","nkens",NA
2000-07-17,"london","nkens",NA
2000-07-18,"london","nkens",NA
2000-07-19,"london","nkens",NA
2000-07-20,"london","nkens",NA
2000-07-21,"london","nkens",NA
2000-07-22,"london","nkens",NA
2000-07-23,"london","nkens",NA
2000-07-24,"london","nkens",NA
2000-07-25,"london","nkens",NA
2000-07-26,"london","nkens",NA
2000-07-27,"london","nkens",NA
2000-07-28,"london","nkens",NA
2000-07-29,"london","nkens",NA
2000-07-30,"london","nkens",NA
2000-07-31,"london","nkens",NA
2000-08-01,"london","nkens",NA
2000-08-02,"london","nkens",NA
2000-08-03,"london","nkens",NA
2000-08-04,"london","nkens",NA
2000-08-05,"london","nkens",NA
2000-08-06,"london","nkens",NA
2000-08-07,"london","nkens",NA
2000-08-08,"london","nkens",NA
2000-08-09,"london","nkens",NA
2000-08-10,"london","nkens",NA
2000-08-11,"london","nkens",NA
2000-08-12,"london","nkens",NA
2000-08-13,"london","nkens",NA
2000-08-14,"london","nkens",NA
2000-08-15,"london","nkens",NA
2000-08-16,"london","nkens",NA
2000-08-17,"london","nkens",NA
2000-08-18,"london","nkens",NA
2000-08-19,"london","nkens",NA
2000-08-20,"london","nkens",NA
2000-08-21,"london","nkens",NA
2000-08-22,"london","nkens",NA
2000-08-23,"london","nkens",NA
2000-08-24,"london","nkens",NA
2000-08-25,"london","nkens",NA
2000-08-26,"london","nkens",NA
2000-08-27,"london","nkens",NA
2000-08-28,"london","nkens",NA
2000-08-29,"london","nkens",NA
2000-08-30,"london","nkens",NA
2000-08-31,"london","nkens",NA
2000-09-01,"london","nkens",NA
2000-09-02,"london","nkens",NA
2000-09-03,"london","nkens",NA
2000-09-04,"london","nkens",NA
2000-09-05,"london","nkens",NA
2000-09-06,"london","nkens",NA
2000-09-07,"london","nkens",NA
2000-09-08,"london","nkens",NA
2000-09-09,"london","nkens",NA
2000-09-10,"london","nkens",NA
2000-09-11,"london","nkens",NA
2000-09-12,"london","nkens",NA
2000-09-13,"london","nkens",NA
2000-09-14,"london","nkens",NA
2000-09-15,"london","nkens",NA
2000-09-16,"london","nkens",NA
2000-09-17,"london","nkens",NA
2000-09-18,"london","nkens",NA
2000-09-19,"london","nkens",NA
2000-09-20,"london","nkens",NA
