Hourly measurement data supplied by UK-air on 27/02/2024,,,,,,,,,
All Data GMT hour ending,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,
Site Name,,Chilbolton Observatory,,London Honor Oak Park,,London Marylebone Road,,London N. Kensington,
Latitude,,51.149617,,51.449674,,51.52253,,51.52105,
Longitude,,-1.438228,,-0.037418,,-0.154611,,-0.213492,
Site Type,,Rural Background,,Urban Background,,Urban Traffic,,Urban Background,
Zone,,South East,,Greater London,,Greater London,,Greater London,
Agglomeration,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,
Local Authority,,Test Valley,,Lewisham,,Westminster,,Kensington,
Date,Time,Total Number Concentration (CPC),Status,Total Number Concentration (CPC),Status,Total Number Concentration (CPC),Status,Total Number Concentration (CPC),Status
1/3/2016,20:00:00,No data,,,,19936,V particles cm-3,18408,V particles cm-3
1/3/2016,21:00:00,No data,,,,20496,V particles cm-3,19247,V particles cm-3
1/3/2016,22:00:00,No data,,,,16932,V particles cm-3,20312,V particles cm-3
1/3/2016,23:00:00,No data,,,,11906,V particles cm-3,14753,V particles cm-3
1/3/2016,24:00:00,No data,,,,11640,V particles cm-3,11403,V particles cm-3
1/4/2016,1:00:00,No data,,,,13038,V particles cm-3,7495,V particles cm-3
1/4/2016,2:00:00,No data,,,,10366,V particles cm-3,5359,V particles cm-3
1/4/2016,3:00:00,No data,,,,9760,V particles cm-3,4265,V particles cm-3
1/4/2016,4:00:00,No data,,,,8471,V particles cm-3,3026,V particles cm-3
1/4/2016,5:00:00,No data,,,,10270,V particles cm-3,3585,V particles cm-3
1/4/2016,6:00:00,No data,,,,13053,V particles cm-3,4979,V particles cm-3
1/4/2016,7:00:00,No data,,,,18306,V particles cm-3,6972,V particles cm-3
1/4/2016,8:00:00,No data,,,,No data,V particles cm-3,8986,V particles cm-3
1/4/2016,9:00:00,No data,,,,20006,V particles cm-3,10901,V particles cm-3
1/4/2016,10:00:00,No data,,,,19252,V particles cm-3,9780,V particles cm-3
1/4/2016,11:00:00,No data,,,,17615,V particles cm-3,8173,V particles cm-3
1/4/2016,12:00:00,No data,,,,13722,V particles cm-3,6844,V particles cm-3
1/4/2016,13:00:00,No data,,,,14817,V particles cm-3,7596,V particles cm-3
1/4/2016,14:00:00,No data,,,,17452,V particles cm-3,7779,V particles cm-3
1/4/2016,15:00:00,No data,,,,18462,V particles cm-3,8710,V particles cm-3
1/4/2016,16:00:00,No data,,,,18852,V particles cm-3,11541,V particles cm-3
1/4/2016,17:00:00,No data,,,,18515,V particles cm-3,13634,V particles cm-3
1/4/2016,18:00:00,No data,,,,19143,V particles cm-3,10782,V particles cm-3
1/4/2016,19:00:00,No data,,,,19990,V particles cm-3,9305,V particles cm-3
1/4/2016,20:00:00,No data,,,,17447,V particles cm-3,10184,V particles cm-3
1/4/2016,21:00:00,No data,,,,16309,V particles cm-3,11291,V particles cm-3
1/4/2016,22:00:00,No data,,,,15036,V particles cm-3,13530,V particles cm-3
1/4/2016,23:00:00,No data,,,,13310,V particles cm-3,11758,V particles cm-3
1/4/2016,24:00:00,No data,,,,11176,V particles cm-3,10750,V particles cm-3
1/5/2016,1:00:00,No data,,,,9830,V particles cm-3,3546,V particles cm-3
1/5/2016,2:00:00,No data,,,,8844,V particles cm-3,2858,V particles cm-3
1/5/2016,3:00:00,No data,,,,7109,V particles cm-3,2408,V particles cm-3
1/5/2016,4:00:00,No data,,,,6795,V particles cm-3,2577,V particles cm-3
1/5/2016,5:00:00,No data,,,,10872,V particles cm-3,3896,V particles cm-3
1/5/2016,6:00:00,No data,,,,10709,V particles cm-3,5902,V particles cm-3
1/5/2016,7:00:00,No data,,,,19831,V particles cm-3,8081,V particles cm-3
1/5/2016,8:00:00,No data,,,,19717,V particles cm-3,14661,V particles cm-3
1/5/2016,9:00:00,No data,,,,21119,V particles cm-3,19254,V particles cm-3
1/5/2016,10:00:00,No data,,,,25226,V particles cm-3,22257,V particles cm-3
1/5/2016,11:00:00,No data,,,,23950,V particles cm-3,18270,V particles cm-3
1/5/2016,12:00:00,No data,,,,21079,V particles cm-3,15165,V particles cm-3
1/5/2016,13:00:00,No data,,,,22051,V particles cm-3,9694,V particles cm-3
1/5/2016,14:00:00,No data,,,,21053,V particles cm-3,9508,V particles cm-3
1/5/2016,15:00:00,No data,,,,21619,V particles cm-3,10970,V particles cm-3
1/5/2016,16:00:00,No data,,,,17057,V particles cm-3,10830,V particles cm-3
1/5/2016,17:00:00,No data,,,,16570,V particles cm-3,19546,V particles cm-3
1/5/2016,18:00:00,No data,,,,21896,V particles cm-3,17684,V particles cm-3
1/5/2016,19:00:00,No data,,,,20233,V particles cm-3,17029,V particles cm-3
1/5/2016,20:00:00,No data,,,,21689,V particles cm-3,17210,V particles cm-3
1/5/2016,21:00:00,No data,,,,22654,V particles cm-3,18437,V particles cm-3
1/5/2016,22:00:00,No data,,,,20648,V particles cm-3,18165,V particles cm-3
1/5/2016,23:00:00,No data,,,,16860,V particles cm-3,15737,V particles cm-3
1/5/2016,24:00:00,No data,,,,14773,V particles cm-3,20394,V particles cm-3
1/6/2016,1:00:00,No data,,,,15359,V particles cm-3,15703,V particles cm-3
1/6/2016,2:00:00,No data,,,,11482,V particles cm-3,12749,V particles cm-3
1/6/2016,3:00:00,No data,,,,10654,V particles cm-3,12845,V particles cm-3
1/6/2016,4:00:00,No data,,,,9599,V particles cm-3,14679,V particles cm-3
1/6/2016,5:00:00,No data,,,,10591,V particles cm-3,14928,V particles cm-3
1/6/2016,6:00:00,No data,,,,11244,V particles cm-3,17292,V particles cm-3
1/6/2016,7:00:00,No data,,,,11532,V particles cm-3,18288,V particles cm-3
1/6/2016,8:00:00,No data,,,,14759,V particles cm-3,22469,V particles cm-3
1/6/2016,9:00:00,No data,,,,13860,V particles cm-3,24161,V particles cm-3
1/6/2016,10:00:00,No data,,,,12608,V particles cm-3,18879,V particles cm-3
1/6/2016,11:00:00,No data,,,,10365,V particles cm-3,13995,V particles cm-3
1/6/2016,12:00:00,No data,,,,10852,V particles cm-3,16160,V particles cm-3
1/6/2016,13:00:00,No data,,,,5993,V particles cm-3,14607,V particles cm-3
1/6/2016,14:00:00,No data,,,,9785,V particles cm-3,11533,V particles cm-3
1/6/2016,15:00:00,No data,,,,10889,V particles cm-3,10164,V particles cm-3
1/6/2016,16:00:00,No data,,,,21494,V particles cm-3,11112,V particles cm-3
1/6/2016,17:00:00,No data,,,,21635,V particles cm-3,15063,V particles cm-3
1/6/2016,18:00:00,No data,,,,23561,V particles cm-3,16872,V particles cm-3
1/6/2016,19:00:00,No data,,,,19356,V particles cm-3,17841,V particles cm-3
1/6/2016,20:00:00,No data,,,,16615,V particles cm-3,21576,V particles cm-3
1/6/2016,21:00:00,No data,,,,16858,V particles cm-3,21799,V particles cm-3
1/6/2016,22:00:00,No data,,,,12961,V particles cm-3,19690,V particles cm-3
1/6/2016,23:00:00,No data,,,,10473,V particles cm-3,18347,V particles cm-3
1/6/2016,24:00:00,No data,,,,9620,V particles cm-3,8908,V particles cm-3
1/7/2016,1:00:00,No data,,,,8454,V particles cm-3,7593,V particles cm-3
1/7/2016,2:00:00,No data,,,,6702,V particles cm-3,4190,V particles cm-3
1/7/2016,3:00:00,No data,,,,5682,V particles cm-3,3583,V particles cm-3
1/7/2016,4:00:00,No data,,,,3194,V particles cm-3,1885,V particles cm-3
1/7/2016,5:00:00,No data,,,,4226,V particles cm-3,1757,V particles cm-3
1/7/2016,6:00:00,No data,,,,7102,V particles cm-3,2516,V particles cm-3
1/7/2016,7:00:00,No data,,,,14755,V particles cm-3,4104,V particles cm-3
1/7/2016,8:00:00,No data,,,,14698,V particles cm-3,6826,V particles cm-3
1/7/2016,9:00:00,No data,,,,18209,V particles cm-3,10380,V particles cm-3
1/7/2016,10:00:00,No data,,,,21021,V particles cm-3,17987,V particles cm-3
1/7/2016,11:00:00,No data,,,,22595,V particles cm-3,16877,V particles cm-3
1/7/2016,12:00:00,No data,,,,18296,V particles cm-3,14370,V particles cm-3
1/7/2016,13:00:00,No data,,,,8575,V particles cm-3,5884,V particles cm-3
1/7/2016,14:00:00,No data,,,,9125,V particles cm-3,7647,V particles cm-3
1/7/2016,15:00:00,No data,,,,10117,V particles cm-3,6824,V particles cm-3
1/7/2016,16:00:00,No data,,,,10443,V particles cm-3,4932,V particles cm-3
1/7/2016,17:00:00,No data,,,,12063,V particles cm-3,5391,V particles cm-3
1/7/2016,18:00:00,No data,,,,17688,V particles cm-3,8388,V particles cm-3
1/7/2016,19:00:00,No data,,,,19650,V particles cm-3,11900,V particles cm-3
1/7/2016,20:00:00,No data,,,,20033,V particles cm-3,11539,V particles cm-3
1/7/2016,21:00:00,No data,,,,22815,V particles cm-3,16725,V particles cm-3
1/7/2016,22:00:00,No data,,,,18092,V particles cm-3,12341,V particles cm-3
1/7/2016,23:00:00,No data,,,,18655,V particles cm-3,17726,V particles cm-3
1/7/2016,24:00:00,No data,,,,14741,V particles cm-3,12923,V particles cm-3
1/8/2016,1:00:00,No data,,,,13180,V particles cm-3,9507,V particles cm-3
1/8/2016,2:00:00,No data,,,,12627,V particles cm-3,6775,V particles cm-3
1/8/2016,3:00:00,No data,,,,10967,V particles cm-3,8840,V particles cm-3
1/8/2016,4:00:00,No data,,,,10851,V particles cm-3,8496,V particles cm-3
1/8/2016,5:00:00,No data,,,,10165,V particles cm-3,9498,V particles cm-3
1/8/2016,6:00:00,No data,,,,12613,V particles cm-3,10871,V particles cm-3
1/8/2016,7:00:00,No data,,,,18890,V particles cm-3,13832,V particles cm-3
1/8/2016,8:00:00,No data,,,,22592,V particles cm-3,16856,V particles cm-3
1/8/2016,9:00:00,No data,,,,21991,V particles cm-3,17430,V particles cm-3
1/8/2016,10:00:00,No data,,,,21564,V particles cm-3,17262,V particles cm-3
1/8/2016,11:00:00,No data,,,,19148,V particles cm-3,13298,V particles cm-3
1/8/2016,12:00:00,No data,,,,20572,V particles cm-3,14824,V particles cm-3
1/8/2016,13:00:00,No data,,,,19960,V particles cm-3,16586,V particles cm-3
1/8/2016,14:00:00,No data,,,,17922,V particles cm-3,10067,V particles cm-3
1/8/2016,15:00:00,No data,,,,19736,V particles cm-3,10338,V particles cm-3
1/8/2016,16:00:00,No data,,,,20757,V particles cm-3,9392,V particles cm-3
1/8/2016,17:00:00,No data,,,,19737,V particles cm-3,14772,V particles cm-3
1/8/2016,18:00:00,No data,,,,21507,V particles cm-3,13341,V particles cm-3
1/8/2016,19:00:00,No data,,,,21877,V particles cm-3,16246,V particles cm-3
1/8/2016,20:00:00,No data,,,,22196,V particles cm-3,15660,V particles cm-3
1/8/2016,21:00:00,No data,,,,19957,V particles cm-3,15494,V particles cm-3
1/8/2016,22:00:00,No data,,,,18006,V particles cm-3,14693,V particles cm-3
1/8/2016,23:00:00,No data,,,,18021,V particles cm-3,14703,V particles cm-3
1/8/2016,24:00:00,No data,,,,12480,V particles cm-3,7796,V particles cm-3
1/9/2016,1:00:00,No data,,,,11780,V particles cm-3,6562,V particles cm-3
1/9/2016,2:00:00,No data,,,,10525,V particles cm-3,3591,V particles cm-3
1/9/2016,3:00:00,No data,,,,9603,V particles cm-3,3225,V particles cm-3
1/9/2016,4:00:00,No data,,,,9288,V particles cm-3,3304,V particles cm-3
1/9/2016,5:00:00,No data,,,,8830,V particles cm-3,3500,V particles cm-3
1/9/2016,6:00:00,No data,,,,11773,V particles cm-3,4643,V particles cm-3
1/9/2016,7:00:00,No data,,,,10968,V particles cm-3,5255,V particles cm-3
1/9/2016,8:00:00,No data,,,,12777,V particles cm-3,5632,V particles cm-3
1/9/2016,9:00:00,No data,,,,15113,V particles cm-3,5777,V particles cm-3
1/9/2016,10:00:00,No data,,,,16876,V particles cm-3,6333,V particles cm-3
1/9/2016,11:00:00,No data,,,,11441,V particles cm-3,5471,V particles cm-3
1/9/2016,12:00:00,No data,,,,12944,V particles cm-3,4538,V particles cm-3
1/9/2016,13:00:00,No data,,,,12333,V particles cm-3,4382,V particles cm-3
1/9/2016,14:00:00,No data,,,,13887,V particles cm-3,4717,V particles cm-3
1/9/2016,15:00:00,No data,,,,11493,V particles cm-3,4893,V particles cm-3
1/9/2016,16:00:00,No data,,,,12658,V particles cm-3,6489,V particles cm-3
1/9/2016,17:00:00,No data,,,,11475,V particles cm-3,6898,V particles cm-3
1/9/2016,18:00:00,No data,,,,11230,V particles cm-3,5517,V particles cm-3
1/9/2016,19:00:00,No data,,,,10970,V particles cm-3,6593,V particles cm-3
1/9/2016,20:00:00,No data,,,,11487,V particles cm-3,5386,V particles cm-3
1/9/2016,21:00:00,No data,,,,9742,V particles cm-3,4080,V particles cm-3
1/9/2016,22:00:00,No data,,,,10421,V particles cm-3,4266,V particles cm-3
1/9/2016,23:00:00,No data,,,,11403,V particles cm-3,4282,V particles cm-3
1/9/2016,24:00:00,No data,,,,10452,V particles cm-3,3441,V particles cm-3
1/10/2016,1:00:00,No data,,,,10187,V particles cm-3,2984,V particles cm-3
1/10/2016,2:00:00,No data,,,,10562,V particles cm-3,3209,V particles cm-3
1/10/2016,3:00:00,No data,,,,8557,V particles cm-3,3732,V particles cm-3
1/10/2016,4:00:00,No data,,,,7550,V particles cm-3,3394,V particles cm-3
1/10/2016,5:00:00,No data,,,,6149,V particles cm-3,2723,V particles cm-3
1/10/2016,6:00:00,No data,,,,6311,V particles cm-3,2997,V particles cm-3
1/10/2016,7:00:00,No data,,,,10012,V particles cm-3,2839,V particles cm-3
1/10/2016,8:00:00,No data,,,,8573,V particles cm-3,2752,V particles cm-3
1/10/2016,9:00:00,No data,,,,11353,V particles cm-3,5140,V particles cm-3
1/10/2016,10:00:00,No data,,,,11977,V particles cm-3,6452,V particles cm-3
1/10/2016,11:00:00,No data,,,,12708,V particles cm-3,6517,V particles cm-3
1/10/2016,12:00:00,No data,,,,12376,V particles cm-3,6116,V particles cm-3
1/10/2016,13:00:00,No data,,,,11317,V particles cm-3,6832,V particles cm-3
1/10/2016,14:00:00,No data,,,,11994,V particles cm-3,7261,V particles cm-3
1/10/2016,15:00:00,No data,,,,16256,V particles cm-3,8589,V particles cm-3
1/10/2016,16:00:00,No data,,,,14861,V particles cm-3,7893,V particles cm-3
1/10/2016,17:00:00,No data,,,,14535,V particles cm-3,9287,V particles cm-3
1/10/2016,18:00:00,No data,,,,14629,V particles cm-3,12209,V particles cm-3
1/10/2016,19:00:00,No data,,,,18964,V particles cm-3,15342,V particles cm-3
