date,area,site,ufp,nonext,tmean,no2,pm10,pm25,dow,holiday
2003-05-19,london,kensington,18946.1852083333,170,13.5386352539063,23.087329864502,21.6711196899414,10.1723365783691,1,0
2003-05-20,london,kensington,26521.634,156,11.4362678527832,23.592321395874,23.3359031677246,10.7548303604126,2,0
2003-05-21,london,kensington,19096.39878125,183,13.310302734375,27.3456020355225,23.6021881103516,11.1290302276611,3,0
2003-05-22,london,kensington,18491.8285208333,179,15.4825258255005,21.8381595611572,22.1232299804688,10.6297874450684,4,0
2003-05-23,london,kensington,16309.9498333333,188,14.7505226135254,22.5027561187744,20.630786895752,9.87435913085938,5,0
2003-05-24,london,kensington,17951.9497916667,170,13.2304954528809,25.0001239776611,17.8819541931152,8.87081718444824,6,0
2003-05-25,london,kensington,13680.38625,185,13.5851612091064,22.7949028015137,14.4905910491943,7.47494554519653,7,0
2003-05-26,london,kensington,18824.4533020833,153,13.2609825134277,28.7250118255615,17.7267150878906,8.78165626525879,1,1
2003-05-27,london,kensington,15096.4864270833,183,14.512186050415,37.6207275390625,25.3044681549072,13.6606559753418,2,0
2003-05-28,london,kensington,24895.2473958333,181,17.1479759216309,48.0050926208496,36.7644157409668,19.8041172027588,3,0
2003-05-29,london,kensington,24837.0886458333,164,17.4865055084229,48.9523468017578,44.2550201416016,23.8409442901611,4,0
2003-05-30,london,kensington,20099.0380736842,175,18.5516109466553,53.0035972595215,43.0247268676758,23.420446395874,5,0
2003-05-31,london,kensington,18816.2192708333,183,20.2772026062012,41.1891059875488,47.2580375671387,25.5921382904053,6,0
2003-06-01,london,kensington,14351.4575,192,18.4497623443604,26.9531211853027,29.0472927093506,17.2710075378418,7,0
2003-06-02,london,kensington,14143.5279375,192,17.8054542541504,29.3236961364746,22.897029876709,12.9040937423706,1,0
2003-06-03,london,kensington,17602.34871875,182,15.708438873291,36.4789161682129,27.9124927520752,14.5631990432739,2,0
2003-06-04,london,kensington,16617.4231041667,176,16.9099388122559,37.2213745117188,24.8375720977783,13.2974615097046,3,0
2003-06-05,london,kensington,15731.9690625,152,15.2501106262207,23.394063949585,19.4310569763184,10.0289726257324,4,0
2003-06-06,london,kensington,16619.476625,164,15.089864730835,29.3376808166504,19.3352527618408,10.0505599975586,5,0
2003-06-07,london,kensington,12174.9639166667,182,18.598503112793,22.8140869140625,19.9939060211182,10.666937828064,6,0
2003-06-08,london,kensington,15306.1240344828,158,16.6902694702148,20.5902729034424,21.5519847869873,11.8210220336914,7,0
2003-06-09,london,kensington,,165,15.22194480896,24.6185073852539,21.834997177124,11.2159795761108,1,0
2003-06-10,london,kensington,,172,18.1011600494385,26.7876987457275,32.1228485107422,15.8356685638428,2,0
2003-06-11,london,kensington,,142,17.0891017913818,25.5946140289307,25.8934326171875,13.0753574371338,3,0
2003-06-12,london,kensington,,159,17.0983734130859,33.9270706176758,24.1036148071289,11.7751836776733,4,0
2003-06-13,london,kensington,,167,16.4391193389893,39.0353736877441,23.5678787231445,11.3782930374146,5,0
2003-06-14,london,kensington,21866.4464583333,170,19.1781196594238,33.9210014343262,30.2382755279541,15.1381816864014,6,0
2003-06-15,london,kensington,13576.4726458333,154,18.0393924713135,31.3389263153076,29.8870029449463,15.991192817688,7,0
2003-06-16,london,kensington,15846.9151145833,179,20.003719329834,40.6934204101563,42.8323860168457,21.0569972991943,1,0
2003-06-17,london,kensington,16350.289375,167,19.1174182891846,46.0553932189941,43.3198280334473,21.1268196105957,2,0
2003-06-18,london,kensington,16317.1754583333,164,17.1578121185303,23.7584896087647,24.2607517242432,12.7604331970215,3,0
2003-06-19,london,kensington,14953.3027291667,152,19.7228736877441,20.1060161590576,18.6165657043457,9.49869632720947,4,0
2003-06-20,london,kensington,14167.3474375,157,16.8139209747314,29.4441585540772,24.0246925354004,11.7303590774536,5,0
2003-06-21,london,kensington,16604.51696875,170,17.0634346008301,33.9298324584961,32.0762786865234,15.5146141052246,6,0
2003-06-22,london,kensington,16803.1703125,166,19.9882049560547,31.1026458740234,33.3021278381348,16.7562026977539,7,0
2003-06-23,london,kensington,13719.4582395833,194,19.6531410217285,27.7639770507813,21.0067081451416,11.0646352767944,1,0
2003-06-24,london,kensington,16117.3687395833,158,16.7187023162842,34.8505897521973,23.6441612243652,12.4609050750732,2,0
2003-06-25,london,kensington,22823.9361458333,171,16.6042098999023,36.4651489257813,27.089693069458,13.5977640151978,3,0
2003-06-26,london,kensington,21443.7624791667,183,18.791561126709,38.4548530578613,36.6925926208496,16.7666549682617,4,0
2003-06-27,london,kensington,13560.7163404255,178,18.6334095001221,40.9437026977539,34.8922271728516,16.0444507598877,5,0
2003-06-28,london,kensington,12487.9136354167,157,16.6586570739746,30.0232677459717,20.7605991363525,10.8595056533813,6,0
2003-06-29,london,kensington,19865.6217291667,184,17.427209854126,32.1397972106934,30.8944568634033,15.4356021881104,7,0
